"state","county","dropout","hs_diploma","some_college","four_year_degree","dropout_percent","hs_diploma_percent","some_college_percent","four_year_degree_percent","state_short","state_long"
"AL","Alabama","470,043","1,020,172","987,148","822,595",14.2,30.9,29.9,24.9,"AL","Alabama"
"AL","Autauga County","4,204","12,119","10,552","10,291",11.3,32.6,28.4,27.7,"AL","Alabama"
"AL","Baldwin County","14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3,"AL","Alabama"
"AL","Barbour County","4,901","6,486","4,566","2,220",27,35.7,25.1,12.2,"AL","Alabama"
"AL","Bibb County","2,650","7,471","3,846","1,813",16.8,47.3,24.4,11.5,"AL","Alabama"
"AL","Blount County","7,861","13,489","13,267","5,010",19.8,34,33.5,12.6,"AL","Alabama"
"AL","Bullock County","1,760","2,817","1,582","945",24.8,39.7,22.3,13.3,"AL","Alabama"
"AL","Butler County","2,141","6,091","3,421","2,235",15.4,43.9,24.6,16.1,"AL","Alabama"
"AL","Calhoun County","12,620","25,653","26,643","14,219",15.9,32.4,33.7,18,"AL","Alabama"
"AL","Chambers County","4,383","9,060","7,003","3,118",18.6,38.4,29.7,13.2,"AL","Alabama"
"AL","Cherokee County","3,692","7,157","5,417","2,407",19.8,38.3,29,12.9,"AL","Alabama"
"AL","Chilton County","5,302","13,125","7,147","4,219",17.8,44.1,24,14.2,"AL","Alabama"
"AL","Choctaw County","1,754","3,606","2,851","1,225",18.6,38.2,30.2,13,"AL","Alabama"
"AL","Clarke County","3,175","7,372","4,205","2,118",18.8,43.7,24.9,12.6,"AL","Alabama"
"AL","Clay County","2,275","3,366","2,700","944",24.5,36.3,29.1,10.2,"AL","Alabama"
"AL","Cleburne County","2,364","4,135","2,518","1,428",22.6,39.6,24.1,13.7,"AL","Alabama"
"AL","Coffee County","4,833","9,723","12,181","8,175",13.8,27.9,34.9,23.4,"AL","Alabama"
"AL","Colbert County","6,016","13,927","11,459","7,236",15.6,36,29.7,18.7,"AL","Alabama"
"AL","Conecuh County","1,703","4,315","1,881","949",19.2,48.8,21.3,10.7,"AL","Alabama"
"AL","Coosa County","1,675","3,178","2,424","953",20.4,38.6,29.5,11.6,"AL","Alabama"
"AL","Covington County","4,530","9,368","8,588","3,952",17.1,35.4,32.5,14.9,"AL","Alabama"
"AL","Crenshaw County","2,091","3,753","2,326","1,505",21.6,38.8,24,15.6,"AL","Alabama"
"AL","Cullman County","10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7,"AL","Alabama"
"AL","Dale County","4,732","10,924","12,036","5,690",14.2,32.7,36.1,17,"AL","Alabama"
"AL","Dallas County","5,135","9,368","8,076","4,021",19.3,35.2,30.4,15.1,"AL","Alabama"
"AL","DeKalb County","12,394","15,956","13,441","6,085",25.9,33.3,28.1,12.7,"AL","Alabama"
"AL","Elmore County","7,594","18,304","16,197","13,664",13.6,32.8,29,24.5,"AL","Alabama"
"AL","Escambia County","4,792","11,546","6,340","3,287",18.5,44.5,24.4,12.7,"AL","Alabama"
"AL","Etowah County","11,147","23,665","24,416","12,767",15.5,32.9,33.9,17.7,"AL","Alabama"
"AL","Fayette County","2,060","4,868","3,273","1,516",17.6,41.5,27.9,12.9,"AL","Alabama"
"AL","Franklin County","4,835","7,666","5,632","2,679",23.2,36.8,27.1,12.9,"AL","Alabama"
"AL","Geneva County","3,891","6,924","5,720","2,063",20.9,37.2,30.8,11.1,"AL","Alabama"
"AL","Greene County","1,406","2,149","1,689","589",24.1,36.8,29,10.1,"AL","Alabama"
"AL","Hale County","1,647","4,292","2,711","1,421",16.4,42.6,26.9,14.1,"AL","Alabama"
"AL","Henry County","2,412","4,081","3,487","2,187",19.8,33.5,28.7,18,"AL","Alabama"
"AL","Houston County","10,261","22,680","23,681","15,076",14.3,31.6,33,21,"AL","Alabama"
"AL","Jackson County","6,526","15,181","10,238","5,280",17.5,40.8,27.5,14.2,"AL","Alabama"
"AL","Jefferson County","46,025","120,037","137,208","145,462",10.3,26.8,30.6,32.4,"AL","Alabama"
"AL","Lamar County","1,741","3,950","2,967","1,235",17.6,39.9,30,12.5,"AL","Alabama"
"AL","Lauderdale County","7,979","22,812","17,453","15,185",12.6,36,27.5,23.9,"AL","Alabama"
"AL","Lawrence County","4,919","9,710","6,028","2,738",21,41.5,25.8,11.7,"AL","Alabama"
"AL","Lee County","9,049","22,855","30,707","32,377",9.5,24.1,32.3,34.1,"AL","Alabama"
"AL","Limestone County","10,123","19,463","18,341","16,367",15.7,30.3,28.5,25.5,"AL","Alabama"
"AL","Lowndes County","1,588","2,722","1,750","996",22.5,38.6,24.8,14.1,"AL","Alabama"
"AL","Macon County","2,215","3,658","3,752","2,510",18.3,30.1,30.9,20.7,"AL","Alabama"
"AL","Madison County","21,617","50,768","69,750","101,650",8.9,20.8,28.6,41.7,"AL","Alabama"
"AL","Marengo County","2,192","5,378","3,869","2,084",16.2,39.8,28.6,15.4,"AL","Alabama"
"AL","Marion County","4,343","7,435","6,770","2,806",20.3,34.8,31.7,13.1,"AL","Alabama"
"AL","Marshall County","12,151","19,818","19,442","12,233",19.1,31.1,30.5,19.2,"AL","Alabama"
"AL","Mobile County","38,247","92,986","82,763","63,703",13.8,33.5,29.8,22.9,"AL","Alabama"
"AL","Monroe County","2,409","6,805","3,464","2,078",16.3,46.1,23.5,14.1,"AL","Alabama"
"AL","Montgomery County","21,646","38,289","41,976","48,131",14.4,25.5,28,32.1,"AL","Alabama"
"AL","Morgan County","13,706","24,350","26,356","17,849",16.7,29.6,32,21.7,"AL","Alabama"
"AL","Perry County","1,275","2,293","1,334","913",21.9,39.4,22.9,15.7,"AL","Alabama"
"AL","Pickens County","2,829","5,352","4,425","1,959",19.4,36.7,30.4,13.5,"AL","Alabama"
"AL","Pike County","3,660","6,405","4,657","4,536",19,33.3,24.2,23.6,"AL","Alabama"
"AL","Randolph County","3,340","5,719","4,329","2,350",21.2,36.3,27.5,14.9,"AL","Alabama"
"AL","Russell County","6,495","12,583","13,434","6,438",16.7,32.3,34.5,16.5,"AL","Alabama"
"AL","St. Clair County","9,255","21,865","19,587","9,991",15.2,36,32.3,16.5,"AL","Alabama"
"AL","Shelby County","11,258","29,106","42,634","60,424",7.8,20.3,29.7,42.1,"AL","Alabama"
"AL","Sumter County","1,238","2,969","1,936","1,715",15.8,37.8,24.6,21.8,"AL","Alabama"
"AL","Talladega County","10,671","19,607","17,827","8,017",19,34.9,31.8,14.3,"AL","Alabama"
"AL","Tallapoosa County","5,581","9,402","8,355","5,244",19.5,32.9,29.2,18.3,"AL","Alabama"
"AL","Tuscaloosa County","14,748","38,097","36,040","38,669",11.6,29.9,28.3,30.3,"AL","Alabama"
"AL","Walker County","8,606","16,685","14,479","5,204",19.1,37.1,32.2,11.6,"AL","Alabama"
"AL","Washington County","2,243","4,954","2,996","1,276",19.6,43.2,26.1,11.1,"AL","Alabama"
"AL","Wilcox County","1,662","2,903","1,738","901",23.1,40.3,24.1,12.5,"AL","Alabama"
"AL","Winston County","3,755","6,420","4,683","2,326",21.9,37.4,27.3,13.5,"AL","Alabama"
"AK","Alaska","34,760","133,851","169,471","139,645",7.3,28,35.5,29.2,"AK","Alaska"
"AK","Aleutians East Borough","358","1,061","882","336",13.6,40.2,33.4,12.7,"AK","Alaska"
"AK","Aleutians West Census Area","459","1,664","1,309","675",11.2,40.5,31.9,16.4,"AK","Alaska"
"AK","Anchorage Municipality","11,867","45,753","66,655","67,719",6.2,23.8,34.7,35.3,"AK","Alaska"
"AK","Bethel Census Area","1,798","4,371","2,314","1,194",18.6,45.2,23.9,12.3,"AK","Alaska"
"AK","Bristol Bay Borough","36","225","240","144",5.6,34.9,37.2,22.3,"AK","Alaska"
"AK","Denali Borough","25","418","461","697",1.6,26.1,28.8,43.5,"AK","Alaska"
"AK","Dillingham Census Area","370","1,138","835","559",12.7,39.2,28.8,19.3,"AK","Alaska"
"AK","Fairbanks North Star Borough","3,381","13,785","24,520","20,152",5.5,22.3,39.7,32.6,"AK","Alaska"
"AK","Haines Borough","57","561","553","701",3,30,29.5,37.4,"AK","Alaska"
"AK","Hoonah-Angoon Census Area","143","598","546","393",8.5,35.6,32.5,23.4,"AK","Alaska"
"AK","Juneau City and Borough","878","4,584","8,138","8,879",3.9,20.4,36.2,39.5,"AK","Alaska"
"AK","Kenai Peninsula Borough","2,902","12,989","15,008","9,378",7.2,32.2,37.3,23.3,"AK","Alaska"
"AK","Ketchikan Gateway Borough","701","2,865","3,671","2,343",7.3,29.9,38.3,24.5,"AK","Alaska"
"AK","Kodiak Island Borough","889","2,747","2,863","2,285",10.1,31.3,32.6,26,"AK","Alaska"
"AK","Kusilvak Census Area","880","2,117","760","190",22.3,53.6,19.3,4.8,"AK","Alaska"
"AK","Lake and Peninsula Borough","123","356","237","134",14.5,41.9,27.9,15.8,"AK","Alaska"
"AK","Matanuska-Susitna Borough","5,068","21,381","25,899","14,073",7.6,32.2,39,21.2,"AK","Alaska"
"AK","Nome Census Area","872","2,347","1,457","799",15.9,42.9,26.6,14.6,"AK","Alaska"
"AK","North Slope Borough","666","2,797","1,968","1,079",10.2,43,30.2,16.6,"AK","Alaska"
"AK","Northwest Arctic Borough","759","1,982","956","489",18.1,47.3,22.8,11.7,"AK","Alaska"
"AK","Petersburg Census Area","219","680","647","589",10.3,31.9,30.3,27.6,"AK","Alaska"
"AK","Prince of Wales-Hyder Census Area","440","1,668","1,577","787",9.8,37.3,35.3,17.6,"AK","Alaska"
"AK","Sitka City and Borough","371","1,741","2,026","2,004",6,28.3,33,32.6,"AK","Alaska"
"AK","Skagway Municipality","51","189","296","273",6.3,23.4,36.6,33.7,"AK","Alaska"
"AK","Southeast Fairbanks Census Area","436","1,451","1,717","851",9.8,32.6,38.5,19.1,"AK","Alaska"
"AK","Valdez-Cordova Census Area","259","2,111","2,114","1,981",4,32.7,32.7,30.6,"AK","Alaska"
"AK","Wrangell City and Borough","219","705","563","388",11.7,37.6,30,20.7,"AK","Alaska"
"AK","Yakutat City and Borough","37","173","151","90",8.2,38.4,33.5,20,"AK","Alaska"
"AK","Yukon-Koyukuk Census Area","496","1,394","1,108","463",14.3,40.3,32,13.4,"AK","Alaska"
"AZ","Arizona","613,002","1,112,551","1,570,308","1,338,071",13.2,24,33.9,28.9,"AZ","Arizona"
"AZ","Apache County","9,085","14,708","15,444","5,189",20.4,33.1,34.8,11.7,"AZ","Arizona"
"AZ","Cochise County","11,215","20,560","35,576","20,116",12.8,23.5,40.7,23,"AZ","Arizona"
"AZ","Coconino County","8,515","17,604","26,746","29,254",10.4,21.4,32.6,35.6,"AZ","Arizona"
"AZ","Gila County","5,718","11,144","14,867","7,226",14.7,28.6,38.2,18.5,"AZ","Arizona"
"AZ","Graham County","3,379","7,028","9,526","3,598",14.4,29.9,40.5,15.3,"AZ","Arizona"
"AZ","Greenlee County","658","2,155","2,433","709",11,36.2,40.9,11.9,"AZ","Arizona"
"AZ","La Paz County","3,606","5,248","5,084","1,972",22.7,33,32,12.4,"AZ","Arizona"
"AZ","Maricopa County","354,513","634,810","923,098","899,070",12.6,22.6,32.8,32,"AZ","Arizona"
"AZ","Mohave County","22,957","54,288","58,539","20,104",14.7,34.8,37.6,12.9,"AZ","Arizona"
"AZ","Navajo County","11,963","20,957","25,708","11,025",17.2,30.1,36.9,15.8,"AZ","Arizona"
"AZ","Pima County","79,230","152,408","230,498","216,291",11.7,22.5,34,31.9,"AZ","Arizona"
"AZ","Pinal County","41,961","85,546","105,949","54,794",14.6,29.7,36.8,19,"AZ","Arizona"
"AZ","Santa Cruz County","7,127","7,957","8,006","6,138",24.4,27.2,27.4,21,"AZ","Arizona"
"AZ","Yavapai County","16,623","44,214","67,706","43,270",9.7,25.7,39.4,25.2,"AZ","Arizona"
"AZ","Yuma County","36,452","33,924","41,128","19,315",27.9,25.9,31.4,14.8,"AZ","Arizona"
"AR","Arkansas","276,029","681,223","590,434","451,621",13.8,34.1,29.5,22.6,"AR","Arkansas"
"AR","Arkansas County","2,121","4,774","3,646","1,937",17,38.3,29.2,15.5,"AR","Arkansas"
"AR","Ashley County","2,465","5,563","4,066","1,838",17.7,39.9,29.2,13.2,"AR","Arkansas"
"AR","Baxter County","3,747","11,090","11,007","5,802",11.8,35,34.8,18.3,"AR","Arkansas"
"AR","Benton County","20,120","49,182","44,756","54,780",11.9,29.1,26.5,32.4,"AR","Arkansas"
"AR","Boone County","3,375","8,779","9,652","4,145",13,33.8,37.2,16,"AR","Arkansas"
"AR","Bradley County","1,352","3,120","1,880","1,142",18,41.6,25.1,15.2,"AR","Arkansas"
"AR","Calhoun County","649","1,636","1,013","452",17.3,43.6,27,12.1,"AR","Arkansas"
"AR","Carroll County","2,788","6,788","6,055","4,015",14.2,34.6,30.8,20.4,"AR","Arkansas"
"AR","Chicot County","1,451","2,954","2,012","1,110",19.3,39.2,26.7,14.7,"AR","Arkansas"
"AR","Clark County","1,422","4,021","4,090","3,642",10.8,30.5,31,27.6,"AR","Arkansas"
"AR","Clay County","2,047","4,363","2,944","1,228",19.3,41.2,27.8,11.6,"AR","Arkansas"
"AR","Cleburne County","2,865","7,630","5,464","2,796",15.3,40.7,29.1,14.9,"AR","Arkansas"
"AR","Cleveland County","649","2,689","1,438","920",11.4,47.2,25.2,16.2,"AR","Arkansas"
"AR","Columbia County","2,210","5,880","3,602","3,028",15,39.9,24.5,20.6,"AR","Arkansas"
"AR","Conway County","2,059","6,333","3,871","2,329",14.1,43.4,26.5,16,"AR","Arkansas"
"AR","Craighead County","7,370","23,120","19,413","17,809",10.9,34.1,28.7,26.3,"AR","Arkansas"
"AR","Crawford County","6,227","15,708","13,588","6,432",14.8,37.4,32.4,15.3,"AR","Arkansas"
"AR","Crittenden County","5,461","10,890","9,132","5,607",17.6,35,29.4,18,"AR","Arkansas"
"AR","Cross County","1,974","4,768","2,964","1,771",17.2,41.5,25.8,15.4,"AR","Arkansas"
"AR","Dallas County","862","2,284","1,401","721",16.4,43.4,26.6,13.7,"AR","Arkansas"
"AR","Desha County","1,677","3,487","1,772","984",21.2,44,22.4,12.4,"AR","Arkansas"
"AR","Drew County","1,744","4,150","3,414","2,420",14.9,35.4,29.1,20.6,"AR","Arkansas"
"AR","Faulkner County","6,483","22,846","22,986","22,472",8.7,30.5,30.7,30,"AR","Arkansas"
"AR","Franklin County","2,106","4,844","3,701","1,423",17.4,40.1,30.7,11.8,"AR","Arkansas"
"AR","Fulton County","1,364","3,282","3,140","1,043",15.4,37.2,35.6,11.8,"AR","Arkansas"
"AR","Garland County","8,243","22,357","26,033","14,335",11.6,31.5,36.7,20.2,"AR","Arkansas"
"AR","Grant County","1,065","5,517","3,625","2,287",8.5,44.2,29,18.3,"AR","Arkansas"
"AR","Greene County","3,767","13,130","8,074","4,734",12.7,44.2,27.2,15.9,"AR","Arkansas"
"AR","Hempstead County","2,734","5,317","4,161","2,178",19,36.9,28.9,15.1,"AR","Arkansas"
"AR","Hot Spring County","3,495","9,489","7,464","3,526",14.6,39.6,31.1,14.7,"AR","Arkansas"
"AR","Howard County","1,515","3,312","2,733","1,308",17.1,37.3,30.8,14.7,"AR","Arkansas"
"AR","Independence County","3,577","9,016","7,804","4,754",14.2,35.8,31,18.9,"AR","Arkansas"
"AR","Izard County","1,511","3,825","3,393","1,397",14.9,37.8,33.5,13.8,"AR","Arkansas"
"AR","Jackson County","2,600","5,061","3,408","1,254",21.1,41.1,27.7,10.2,"AR","Arkansas"
"AR","Jefferson County","6,620","18,270","14,074","8,432",14,38.5,29.7,17.8,"AR","Arkansas"
"AR","Johnson County","3,565","7,124","3,860","2,735",20.6,41.2,22.3,15.8,"AR","Arkansas"
"AR","Lafayette County","909","2,055","1,192","821",18.3,41.3,24,16.5,"AR","Arkansas"
"AR","Lawrence County","1,636","4,551","3,393","1,696",14.5,40.4,30.1,15,"AR","Arkansas"
"AR","Lee County","1,831","2,770","1,578","607",27,40.8,23.3,8.9,"AR","Arkansas"
"AR","Lincoln County","1,910","5,127","2,259","903",18.7,50.3,22.1,8.9,"AR","Arkansas"
"AR","Little River County","1,041","3,758","2,989","1,003",11.8,42.7,34,11.4,"AR","Arkansas"
"AR","Logan County","2,278","6,875","4,284","1,846",14.9,45,28,12.1,"AR","Arkansas"
"AR","Lonoke County","5,363","16,675","15,846","9,639",11.3,35.1,33.3,20.3,"AR","Arkansas"
"AR","Madison County","2,242","5,037","2,382","1,375",20.3,45.6,21.6,12.5,"AR","Arkansas"
"AR","Marion County","1,636","4,583","4,091","2,148",13.1,36.8,32.8,17.2,"AR","Arkansas"
"AR","Miller County","4,170","10,680","9,967","4,934",14,35.9,33.5,16.6,"AR","Arkansas"
"AR","Mississippi County","5,305","10,630","8,066","3,521",19.3,38.6,29.3,12.8,"AR","Arkansas"
"AR","Monroe County","1,168","2,199","1,205","537",22.9,43,23.6,10.5,"AR","Arkansas"
"AR","Montgomery County","1,461","2,450","2,075","722",21.8,36.5,30.9,10.8,"AR","Arkansas"
"AR","Nevada County","787","2,605","1,644","916",13.2,43.8,27.6,15.4,"AR","Arkansas"
"AR","Newton County","994","2,338","1,468","927",17.4,40.8,25.6,16.2,"AR","Arkansas"
"AR","Ouachita County","2,412","6,958","4,675","2,671",14.4,41.6,28,16,"AR","Arkansas"
"AR","Perry County","1,202","2,938","2,226","858",16.6,40.7,30.8,11.9,"AR","Arkansas"
"AR","Phillips County","2,665","3,709","4,236","1,729",21.6,30.1,34.3,14,"AR","Arkansas"
"AR","Pike County","1,153","2,946","2,364","1,113",15.2,38.9,31.2,14.7,"AR","Arkansas"
"AR","Poinsett County","3,161","7,228","4,289","1,643",19.4,44.3,26.3,10.1,"AR","Arkansas"
"AR","Polk County","2,166","5,275","4,789","1,872",15.4,37.4,34,13.3,"AR","Arkansas"
"AR","Pope County","6,117","14,318","11,064","8,860",15.2,35.5,27.4,22,"AR","Arkansas"
"AR","Prairie County","1,062","2,390","1,617","903",17.8,40,27.1,15.1,"AR","Arkansas"
"AR","Pulaski County","25,441","69,644","80,333","90,726",9.6,26.2,30.2,34.1,"AR","Arkansas"
"AR","Randolph County","2,121","4,362","4,066","1,719",17.3,35.6,33.1,14,"AR","Arkansas"
"AR","St. Francis County","3,550","7,120","5,723","1,947",19.4,38.8,31.2,10.6,"AR","Arkansas"
"AR","Saline County","7,790","25,636","26,748","21,234",9.6,31.5,32.9,26.1,"AR","Arkansas"
"AR","Scott County","1,468","2,984","1,858","631",21.1,43,26.8,9.1,"AR","Arkansas"
"AR","Searcy County","902","2,622","1,562","728",15.5,45.1,26.9,12.5,"AR","Arkansas"
"AR","Sebastian County","14,230","27,083","26,577","16,641",16.8,32,31.4,19.7,"AR","Arkansas"
"AR","Sevier County","2,752","3,859","2,858","1,232",25.7,36.1,26.7,11.5,"AR","Arkansas"
"AR","Sharp County","2,027","5,176","3,734","1,397",16.4,42,30.3,11.3,"AR","Arkansas"
"AR","Stone County","1,869","3,323","2,790","1,173",20.4,36.3,30.5,12.8,"AR","Arkansas"
"AR","Union County","4,129","9,543","7,769","5,638",15.2,35.2,28.7,20.8,"AR","Arkansas"
"AR","Van Buren County","1,741","5,387","3,412","1,730",14.2,43.9,27.8,14.1,"AR","Arkansas"
"AR","Washington County","20,771","36,295","35,712","45,385",15,26.3,25.8,32.8,"AR","Arkansas"
"AR","White County","7,454","19,564","13,034","10,878",14.6,38.4,25.6,21.4,"AR","Arkansas"
"AR","Woodruff County","943","2,008","1,202","569",20,42.5,25.5,12,"AR","Arkansas"
"AR","Yell County","2,892","5,923","3,721","1,963",19.9,40.9,25.7,13.5,"AR","Arkansas"
"CA","California","4,475,565","5,391,120","7,633,463","8,718,737",17.1,20.6,29.1,33.3,"CA","California"
"CA","Alameda County","139,234","203,838","281,631","531,701",12,17.6,24.4,46,"CA","California"
"CA","Alpine County","87","225","237","235",11.1,28.7,30.2,30,"CA","California"
"CA","Amador County","2,864","8,461","12,198","5,997",9.7,28.7,41.3,20.3,"CA","California"
"CA","Butte County","15,823","33,611","59,196","39,260",10.7,22.7,40,26.5,"CA","California"
"CA","Calaveras County","3,332","9,557","15,239","6,474",9.6,27.6,44,18.7,"CA","California"
"CA","Colusa County","4,174","3,225","4,132","2,103",30.6,23.7,30.3,15.4,"CA","California"
"CA","Contra Costa County","82,574","136,610","233,998","324,337",10.6,17.6,30.1,41.7,"CA","California"
"CA","Del Norte County","3,684","6,131","6,840","2,782",19,31.5,35.2,14.3,"CA","California"
"CA","El Dorado County","9,299","28,621","51,399","45,397",6.9,21.2,38.2,33.7,"CA","California"
"CA","Fresno County","147,389","136,851","188,858","123,407",24.7,22.9,31.7,20.7,"CA","California"
"CA","Glenn County","4,426","5,058","5,956","2,484",24.7,28.2,33.2,13.9,"CA","California"
"CA","Humboldt County","8,878","21,615","34,073","27,380",9.7,23.5,37.1,29.8,"CA","California"
"CA","Imperial County","33,928","26,758","32,850","15,802",31,24.5,30,14.5,"CA","California"
"CA","Inyo County","1,478","3,883","4,431","3,452",11.2,29.3,33.5,26.1,"CA","California"
"CA","Kern County","139,584","147,239","159,525","85,752",26.2,27.7,30,16.1,"CA","California"
"CA","Kings County","24,270","23,540","32,073","12,438",26.3,25.5,34.7,13.5,"CA","California"
"CA","Lake County","6,872","13,951","18,247","7,324",14.8,30.1,39.3,15.8,"CA","California"
"CA","Lassen County","3,853","7,444","8,396","2,697",17.2,33.2,37.5,12,"CA","California"
"CA","Los Angeles County","1,460,718","1,416,482","1,790,808","2,177,481",21.3,20.7,26.2,31.8,"CA","California"
"CA","Madera County","27,278","24,249","31,404","14,084",28.1,25,32.4,14.5,"CA","California"
"CA","Marin County","12,883","20,858","44,782","112,018",6.8,10.9,23.5,58.8,"CA","California"
"CA","Mariposa County","1,316","3,622","5,524","3,197",9.6,26.5,40.4,23.4,"CA","California"
"CA","Mendocino County","8,101","15,925","22,532","15,241",13.1,25.8,36.5,24.7,"CA","California"
"CA","Merced County","48,433","40,839","46,711","22,051",30.6,25.8,29.6,14,"CA","California"
"CA","Modoc County","974","2,185","2,536","1,078",14.4,32.3,37.4,15.9,"CA","California"
"CA","Mono County","1,131","2,290","3,545","3,076",11.3,22.8,35.3,30.6,"CA","California"
"CA","Monterey County","78,816","56,133","72,422","67,157",28.7,20.4,26.4,24.5,"CA","California"
"CA","Napa County","14,670","17,644","31,629","34,277",14.9,18,32.2,34.9,"CA","California"
"CA","Nevada County","4,386","13,945","29,692","27,754",5.8,18.4,39.2,36.6,"CA","California"
"CA","Orange County","320,340","368,858","604,676","857,638",14.9,17.1,28.1,39.9,"CA","California"
"CA","Placer County","14,403","48,289","100,446","102,345",5.4,18.2,37.8,38.6,"CA","California"
"CA","Plumas County","874","3,638","6,528","3,390",6.1,25.2,45.2,23.5,"CA","California"
"CA","Riverside County","280,295","411,949","504,267","333,718",18.3,26.9,33,21.8,"CA","California"
"CA","Sacramento County","127,852","225,825","350,480","308,126",12.6,22.3,34.6,30.4,"CA","California"
"CA","San Benito County","7,658","9,440","13,492","7,486",20.1,24.8,35.4,19.7,"CA","California"
"CA","San Bernardino County","272,865","352,296","436,563","270,028",20.5,26.5,32.8,20.3,"CA","California"
"CA","San Diego County","286,008","409,272","680,074","848,022",12.9,18.4,30.6,38.1,"CA","California"
"CA","San Francisco County","79,408","84,630","131,509","394,004",11.5,12.3,19.1,57.1,"CA","California"
"CA","San Joaquin County","96,905","129,211","147,635","84,486",21.1,28.2,32.2,18.4,"CA","California"
"CA","San Luis Obispo County","17,123","37,163","68,352","64,923",9.1,19.8,36.4,34.6,"CA","California"
"CA","San Mateo County","59,339","82,174","132,756","273,630",10.8,15,24.2,49.9,"CA","California"
"CA","Santa Barbara County","52,042","49,059","80,080","92,634",19,17.9,29.2,33.8,"CA","California"
"CA","Santa Clara County","157,687","191,695","294,921","679,498",11.9,14.5,22.3,51.3,"CA","California"
"CA","Santa Cruz County","24,323","28,222","54,710","71,610",13.6,15.8,30.6,40,"CA","California"
"CA","Shasta County","11,606","31,314","55,236","27,995",9.2,24.8,43.8,22.2,"CA","California"
"CA","Sierra County","156","620","1,118","436",6.7,26.6,48,18.7,"CA","California"
"CA","Siskiyou County","3,181","8,118","13,330","7,163",10,25.5,41.9,22.5,"CA","California"
"CA","Solano County","36,031","69,822","115,304","78,496",12,23.3,38.5,26.2,"CA","California"
"CA","Sonoma County","42,831","67,183","123,081","124,873",12,18.8,34.4,34.9,"CA","California"
"CA","Stanislaus County","73,664","97,071","111,660","57,523",21.7,28.6,32.8,16.9,"CA","California"
"CA","Sutter County","13,697","14,879","22,621","11,024",22,23.9,36.4,17.7,"CA","California"
"CA","Tehama County","6,766","13,319","16,540","6,709",15.6,30.7,38.2,15.5,"CA","California"
"CA","Trinity County","932","3,325","3,744","1,965",9.4,33.4,37.6,19.7,"CA","California"
"CA","Tulare County","81,345","69,974","79,261","38,493",30.2,26,29.5,14.3,"CA","California"
"CA","Tuolumne County","3,936","11,680","17,269","8,238",9.6,28.4,42,20,"CA","California"
"CA","Ventura County","88,185","107,135","183,807","187,558",15.6,18.9,32.4,33.1,"CA","California"
"CA","Yolo County","17,180","23,271","33,180","52,424",13.6,18.5,26.3,41.6,"CA","California"
"CA","Yuba County","8,478","10,898","19,959","7,866",18,23.1,42.3,16.7,"CA","California"
"CO","Colorado","322,718","803,431","1,117,551","1,504,892",8.6,21.4,29.8,40.1,"CO","Colorado"
"CO","Adams County","54,079","90,409","98,693","74,958",17,28.4,31,23.6,"CO","Colorado"
"CO","Alamosa County","1,287","2,598","3,157","2,484",13.5,27.3,33.1,26.1,"CO","Colorado"
"CO","Arapahoe County","32,895","89,231","126,707","181,360",7.6,20.7,29.5,42.2,"CO","Colorado"
"CO","Archuleta County","781","2,102","3,101","3,813",8,21.5,31.7,38.9,"CO","Colorado"
"CO","Baca County","398","714","923","577",15.2,27.3,35.3,22.1,"CO","Colorado"
"CO","Bent County","646","2,208","1,120","565",14.2,48.6,24.7,12.4,"CO","Colorado"
"CO","Boulder County","10,380","25,800","46,104","127,566",4.9,12.3,22,60.8,"CO","Colorado"
"CO","Broomfield County","1,460","6,667","12,122","25,209",3.2,14.7,26.7,55.5,"CO","Colorado"
"CO","Chaffee County","1,070","4,038","4,930","5,068",7.1,26.7,32.6,33.5,"CO","Colorado"
"CO","Cheyenne County","125","460","427","253",9.9,36.4,33.8,20,"CO","Colorado"
"CO","Clear Creek County","123","1,536","2,270","3,416",1.7,20.9,30.9,46.5,"CO","Colorado"
"CO","Conejos County","711","1,717","1,804","1,069",13.4,32.4,34,20.2,"CO","Colorado"
"CO","Costilla County","579","640","956","514",21.5,23.8,35.6,19.1,"CO","Colorado"
"CO","Crowley County","590","1,615","1,297","372",15.2,41.7,33.5,9.6,"CO","Colorado"
"CO","Custer County","253","754","1,261","1,324",7,21,35.1,36.9,"CO","Colorado"
"CO","Delta County","2,130","8,446","6,857","4,700",9.6,38.2,31,21.2,"CO","Colorado"
"CO","Denver County","64,043","84,265","110,388","237,877",12.9,17,22.2,47.9,"CO","Colorado"
"CO","Dolores County","115","539","454","300",8.2,38.3,32.2,21.3,"CO","Colorado"
"CO","Douglas County","4,347","26,287","59,981","124,635",2,12.2,27.9,57.9,"CO","Colorado"
"CO","Eagle County","4,075","5,979","9,672","18,316",10.7,15.7,25.4,48.1,"CO","Colorado"
"CO","Elbert County","595","4,374","6,449","6,388",3.3,24.6,36.2,35.9,"CO","Colorado"
"CO","El Paso County","27,792","89,218","157,396","167,680",6.3,20.2,35.6,37.9,"CO","Colorado"
"CO","Fremont County","3,539","14,477","11,733","6,625",9.7,39.8,32.3,18.2,"CO","Colorado"
"CO","Garfield County","4,740","11,076","11,329","11,651",12.2,28.5,29.2,30,"CO","Colorado"
"CO","Gilpin County","114","1,035","1,731","1,820",2.4,22,36.8,38.7,"CO","Colorado"
